Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
25257712,RS_198,COUNTRY,AFG,YEAR,2014,SEX,BTSX,,,,,,,14.1 [12.0-16.1],14.06413,12.04685,16.08142,,2021-02-09T16:20:06Z,2014,2014-01-01,2014-12-31
25257713,RS_198,COUNTRY,AFG,YEAR,2006,SEX,MLE,,,,,,,22.8 [19.1-26.4],22.76401,19.11674,26.41128,,2021-02-09T16:20:06Z,2006,2006-01-01,2006-12-31
25257714,RS_198,COUNTRY,AFG,YEAR,2017,SEX,BTSX,,,,,,,15.1 [13.1-17.2],15.12666,13.05234,17.20918,,2021-02-09T16:20:06Z,2017,2017-01-01,2017-12-31
25257715,RS_198,COUNTRY,AFG,YEAR,2005,SEX,BTSX,,,,,,,15.2 [12.7-17.6],15.16706,12.71133,17.6228,,2021-02-09T16:20:06Z,2005,2005-01-01,2005-12-31
25257716,RS_198,COUNTRY,AFG,YEAR,2016,SEX,MLE,,,,,,,23.3 [20.1-26.6],23.30767,20.06777,26.55202,,2021-02-09T16:20:06Z,2016,2016-01-01,2016-12-31
25257717,RS_198,COUNTRY,AFG,YEAR,2015,SEX,BTSX,,,,,,,14.4 [12.3-16.4],14.36183,12.34266,16.38101,,2021-02-09T16:20:06Z,2015,2015-01-01,2015-12-31
25258558,RS_198,COUNTRY,AGO,YEAR,2003,SEX,MLE,,,,,,,28.3 [22.9-33.7],28.3275,22.92442,33.73059,,2021-02-09T16:20:33Z,2003,2003-01-01,2003-12-31
25258559,RS_198,COUNTRY,AGO,YEAR,2001,SEX,MLE,,,,,,,28.4 [23.0-33.9],28.44362,22.9606,33.92664,,2021-02-09T16:20:33Z,2001,2001-01-01,2001-12-31
25258560,RS_198,COUNTRY,AGO,YEAR,2008,SEX,MLE,,,,,,,29.3 [23.4-35.2],29.29749,23.41905,35.17593,,2021-02-09T16:20:33Z,2008,2008-01-01,2008-12-31
25258561,RS_198,COUNTRY,AGO,YEAR,2000,SEX,FMLE,,,,,,,22.3 [18.0-26.6],22.29551,18.00618,26.58484,,2021-02-09T16:20:33Z,2000,2000-01-01,2000-12-31
25258562,RS_198,COUNTRY,AGO,YEAR,2018,SEX,BTSX,,,,,,,26.0 [19.9-32.1],25.99481,19.92908,32.05301,,2021-02-09T16:20:33Z,2018,2018-01-01,2018-12-31
25258563,RS_198,COUNTRY,AGO,YEAR,2001,SEX,FMLE,,,,,,,22.0 [17.7-26.2],21.97869,17.74189,26.21548,,2021-02-09T16:20:33Z,2001,2001-01-01,2001-12-31
25258564,RS_198,COUNTRY,AGO,YEAR,2015,SEX,MLE,,,,,,,29.8 [23.4-36.1],29.79405,23.44042,36.14299,,2021-02-09T16:20:33Z,2015,2015-01-01,2015-12-31
25258565,RS_198,COUNTRY,AGO,YEAR,2011,SEX,BTSX,,,,,,,25.4 [20.2-30.6],25.38896,20.18193,30.596,,2021-02-09T16:20:33Z,2011,2011-01-01,2011-12-31
25258566,RS_198,COUNTRY,AGO,YEAR,2019,SEX,MLE,,,,,,,34.3 [26.0-42.5],34.27891,26.04188,42.50345,,2021-02-09T16:20:33Z,2019,2019-01-01,2019-12-31
25258567,RS_198,COUNTRY,AGO,YEAR,2005,SEX,FMLE,,,,,,,22.6 [18.2-26.9],22.55765,18.16822,26.94707,,2021-02-09T16:20:33Z,2005,2005-01-01,2005-12-31
