Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
25257638,RS_196,COUNTRY,AFG,YEAR,2008,SEX,BTSX,,,,,,,4161 [3510-4812],4161.023,3509.802,4812.244,,2021-02-09T16:20:04Z,2008,2008-01-01,2008-12-31
25257639,RS_196,COUNTRY,AFG,YEAR,2001,SEX,FMLE,,,,,,,705 [583-826],705.0228,583.3838,826.4421,,2021-02-09T16:20:04Z,2001,2001-01-01,2001-12-31
25257640,RS_196,COUNTRY,AFG,YEAR,2013,SEX,MLE,,,,,,,3575 [3050-4099],3574.501,3049.818,4099.183,,2021-02-09T16:20:04Z,2013,2013-01-01,2013-12-31
25257641,RS_196,COUNTRY,AFG,YEAR,2015,SEX,BTSX,,,,,,,4942 [4248-5637],4942.425,4247.553,5637.296,,2021-02-09T16:20:04Z,2015,2015-01-01,2015-12-31
25257642,RS_196,COUNTRY,AFG,YEAR,2006,SEX,MLE,,,,,,,3101 [2604-3598],3101.345,2604.444,3598.245,,2021-02-09T16:20:04Z,2006,2006-01-01,2006-12-31
25257643,RS_196,COUNTRY,AFG,YEAR,2019,SEX,MLE,,,,,,,4853 [4204-5507],4852.877,4204.311,5506.923,,2021-02-09T16:20:04Z,2019,2019-01-01,2019-12-31
25257644,RS_196,COUNTRY,AFG,YEAR,2011,SEX,MLE,,,,,,,3377 [2861-3893],3376.505,2860.617,3893.18,,2021-02-09T16:20:04Z,2011,2011-01-01,2011-12-31
25257645,RS_196,COUNTRY,AFG,YEAR,2007,SEX,BTSX,,,,,,,4053 [3413-4695],4053.116,3412.729,4694.501,,2021-02-09T16:20:04Z,2007,2007-01-01,2007-12-31
25257646,RS_196,COUNTRY,AFG,YEAR,2016,SEX,FMLE,,,,,,,1001 [862-1141],1001.271,862.0888,1140.645,,2021-02-09T16:20:04Z,2016,2016-01-01,2016-12-31
25257647,RS_196,COUNTRY,AFG,YEAR,2012,SEX,BTSX,,,,,,,4296 [3650-4942],4295.699,3650.495,4941.901,,2021-02-09T16:20:04Z,2012,2012-01-01,2012-12-31
25257648,RS_196,COUNTRY,AFG,YEAR,2000,SEX,MLE,,,,,,,2380 [1961-2800],2380.402,1961.362,2800.239,,2021-02-09T16:20:04Z,2000,2000-01-01,2000-12-31
25257649,RS_196,COUNTRY,AFG,YEAR,2005,SEX,MLE,,,,,,,3024 [2534-3513],3023.578,2534.024,3513.131,,2021-02-09T16:20:04Z,2005,2005-01-01,2005-12-31
25257650,RS_196,COUNTRY,AFG,YEAR,2012,SEX,FMLE,,,,,,,890 [757-1024],890.2178,756.5092,1024.133,,2021-02-09T16:20:04Z,2012,2012-01-01,2012-12-31
25257651,RS_196,COUNTRY,AFG,YEAR,2005,SEX,BTSX,,,,,,,3891 [3261-4521],3891,3261,4521,,2021-02-09T16:20:04Z,2005,2005-01-01,2005-12-31
25257652,RS_196,COUNTRY,AFG,YEAR,2012,SEX,MLE,,,,,,,3405 [2894-3918],3405.481,2893.986,3917.768,,2021-02-09T16:20:04Z,2012,2012-01-01,2012-12-31
25257653,RS_196,COUNTRY,AFG,YEAR,2018,SEX,BTSX,,,,,,,5295 [4578-6017],5295.195,4578.289,6016.524,,2021-02-09T16:20:04Z,2018,2018-01-01,2018-12-31
25257654,RS_196,COUNTRY,AFG,YEAR,2008,SEX,FMLE,,,,,,,896 [756-1037],896.3592,756.0745,1036.644,,2021-02-09T16:20:04Z,2008,2008-01-01,2008-12-31
25257655,RS_196,COUNTRY,AFG,YEAR,2011,SEX,FMLE,,,,,,,905 [767-1044],905.0918,766.8051,1043.59,,2021-02-09T16:20:04Z,2011,2011-01-01,2011-12-31
25257656,RS_196,COUNTRY,AFG,YEAR,2008,SEX,MLE,,,,,,,3265 [2754-3776],3264.664,2753.727,3775.6,,2021-02-09T16:20:04Z,2008,2008-01-01,2008-12-31
25257657,RS_196,COUNTRY,AFG,YEAR,2015,SEX,FMLE,,,,,,,961 [826-1097],961.4418,826.2695,1096.614,,2021-02-09T16:20:04Z,2015,2015-01-01,2015-12-31
25258498,RS_196,COUNTRY,AGO,YEAR,2003,SEX,MLE,,,,,,,2549 [2063-3035],2549.261,2063.024,3035.497,,2021-02-09T16:20:31Z,2003,2003-01-01,2003-12-31
25258499,RS_196,COUNTRY,AGO,YEAR,2019,SEX,MLE,,,,,,,5397 [4100-6692],5397.138,4100.237,6692.074,,2021-02-09T16:20:31Z,2019,2019-01-01,2019-12-31
25258500,RS_196,COUNTRY,AGO,YEAR,2017,SEX,FMLE,,,,,,,2681 [2074-3287],2680.896,2073.959,3287.258,,2021-02-09T16:20:31Z,2017,2017-01-01,2017-12-31
25258501,RS_196,COUNTRY,AGO,YEAR,2013,SEX,MLE,,,,,,,3584 [2846-4322],3583.559,2846.1,4321.646,,2021-02-09T16:20:31Z,2013,2013-01-01,2013-12-31
25258502,RS_196,COUNTRY,AGO,YEAR,2009,SEX,BTSX,,,,,,,6155 [4924-7385],6155.227,4924.182,7385.164,,2021-02-09T16:20:31Z,2009,2009-01-01,2009-12-31
25258503,RS_196,COUNTRY,AGO,YEAR,2000,SEX,FMLE,,,,,,,1837 [1484-2191],1837.252,1483.792,2190.712,,2021-02-09T16:20:31Z,2000,2000-01-01,2000-12-31
25258504,RS_196,COUNTRY,AGO,YEAR,2007,SEX,BTSX,,,,,,,5324 [4265-6382],5323.971,4265.478,6382.465,,2021-02-09T16:20:31Z,2007,2007-01-01,2007-12-31
25258505,RS_196,COUNTRY,AGO,YEAR,2006,SEX,FMLE,,,,,,,2122 [1704-2539],2121.713,1704.397,2539.457,,2021-02-09T16:20:31Z,2006,2006-01-01,2006-12-31
25258506,RS_196,COUNTRY,AGO,YEAR,2015,SEX,BTSX,,,,,,,6586 [5182-7990],6586.281,5181.747,7989.779,,2021-02-09T16:20:31Z,2015,2015-01-01,2015-12-31
25258507,RS_196,COUNTRY,AGO,YEAR,2016,SEX,MLE,,,,,,,4530 [3535-5525],4530.159,3535.084,5524.568,,2021-02-09T16:20:31Z,2016,2016-01-01,2016-12-31
